City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Huarmey,PE,2021-12-02 04:04:20,-10.0681,-78.1522,66.2,86,100,6.29
99,Skjervoy,NO,2021-12-02 04:04:21,70.0311,20.9714,34.43,60,100,21.99
100,Bluff,NZ,2021-12-02 04:04:21,-46.6,168.3333,66.79,78,100,13.35
101,Sitka,US,2021-12-02 04:04:23,57.0531,-135.33,35.49,69,90,11.5
102,Mariestad,SE,2021-12-02 04:04:25,58.7097,13.8237,27.07,87,100,15.82
103,Faya,SA,2021-12-02 04:04:27,18.3851,42.4509,46.92,51,1,2.55
104,Varnavino,RU,2021-12-02 04:04:31,57.4035,45.0916,21.87,89,94,8.25
105,Dingle,PH,2021-12-02 04:04:33,10.9995,122.6711,78.84,89,100,12.01
106,Biak,ID,2021-12-02 04:04:35,-0.9131,122.8766,81.68,70,100,3.29
107,Beringovskiy,RU,2021-12-02 04:04:36,63.05,179.3167,-5.93,96,72,8.7
108,Kollam,IN,2021-12-02 04:02:00,8.8833,76.6,80.47,72,26,4.5
109,Trairi,BR,2021-12-02 04:00:38,-3.2778,-39.2689,79.56,79,83,7.87
110,Cirebon,ID,2021-12-02 04:04:38,-6.7063,108.557,87.4,60,98,3.85
111,Madoc,CA,2021-12-02 04:04:39,44.5084,-77.4745,41.05,92,100,6.73
112,Doha,QA,2021-12-02 04:02:16,25.2867,51.5333,71.58,88,20,2.3
113,Kavaratti,IN,2021-12-02 04:04:42,10.5669,72.642,82.38,77,46,11.97
114,Trelew,AR,2021-12-02 04:04:23,-43.249,-65.3051,65.01,23,34,22.32
115,Caravelas,BR,2021-12-02 04:04:43,-17.7125,-39.2481,73.38,95,76,7.02
116,Impfondo,CG,2021-12-02 04:04:44,1.6381,18.0667,69.93,98,98,2.17
117,Aklavik,CA,2021-12-02 04:04:45,68.2191,-135.0107,-13.56,98,100,9.69
118,Asau,RO,2021-12-02 04:04:46,46.4333,26.4,39.76,79,71,6.58
119,Provideniya,RU,2021-12-02 04:04:46,64.3833,-173.3,0.36,50,74,6.71
120,San Patricio,US,2021-12-02 04:04:47,28.017,-97.5169,69.89,84,97,5.64
121,Grindavik,IS,2021-12-02 04:04:48,63.8424,-22.4338,37.87,100,90,31.07
122,Pevek,RU,2021-12-02 04:04:49,69.7008,170.3133,-11.81,97,97,4.21
123,Fiche,ET,2021-12-02 04:04:50,9.8,38.7333,46.94,49,49,1.5
124,Nanakuli,US,2021-12-02 04:04:51,21.3906,-158.1547,80.55,67,1,8.05
125,Bonthe,SL,2021-12-02 04:04:54,7.5264,-12.505,77.63,85,98,3.69
126,Hobart,AU,2021-12-02 04:00:29,-42.8794,147.3294,75.25,68,75,1.01
127,Aloleng,PH,2021-12-02 04:04:57,16.1307,119.7824,81.93,62,86,8.88
128,Lagoa,PT,2021-12-02 04:04:59,39.05,-27.9833,62.94,82,0,7.94
129,Chitradurga,IN,2021-12-02 04:05:02,14.2333,76.4,73.27,76,15,8.77
130,Hithadhoo,MV,2021-12-02 04:03:38,-0.6,73.0833,82.15,74,90,6.08
131,Berberati,CF,2021-12-02 04:05:07,4.2612,15.7922,69.57,87,99,1.5
132,Koygorodok,RU,2021-12-02 04:05:08,60.445,50.9968,15.91,95,78,6.69
133,Laguna,US,2021-12-02 04:05:10,38.421,-121.4238,65.97,90,1,0.0
134,Cape Town,ZA,2021-12-02 04:05:13,-33.9258,18.4232,59.34,74,1,12.08
135,Ipixuna,BR,2021-12-02 04:05:17,-1.7625,-48.8043,78.75,92,76,3.15
136,Butaritari,KI,2021-12-02 04:05:18,3.0707,172.7902,82.33,75,78,11.92
137,Saint-Philippe,RE,2021-12-02 04:05:19,-21.3585,55.7679,80.15,84,59,11.12
